Country,Code,Year,Total_population,Health_expenditure,Life_expectancy,Continent
Kazakhstan,KAZ,2014,17303000,1068.06212381,71.62,Asia
Kenya,KEN,1995,27768000,68.31216992,53.911,Africa
Kenya,KEN,2014,46700000,168.9817873,66.242,Africa
Kuwait,KWT,1995,1606000,2164.37865043,72.722,Asia
Kuwait,KWT,2014,3691000,2319.60464971,74.458,Asia
Kyrgyzstan,KGZ,1995,4566000,73.33475754,65.790243902439,Asia
Kyrgyzstan,KGZ,2014,5845000,215.05762807,70.4024390243902,Asia
Laos,LAO,1995,4846000,55.22100994,56.158,Asia
Laos,LAO,2014,6640000,98.46778237,65.975,Asia
Latvia,LVA,1995,2508000,221.12250745,66.3912195121951,Europe
Latvia,LVA,2014,2021000,940.30243923,74.1243902439024,Europe
Lebanon,LBN,1995,3528000,1065.02365387,72.071,Asia
Lebanon,LBN,2014,6261000,987.38532955,79.231,Asia
Lesotho,LSO,1995,1899000,79.75557118,56.902,Africa
Lesotho,LSO,2014,2043000,276.04193165,53.268,Africa
Libya,LBY,1995,4949000,611.42298291,69.85,Africa
Libya,LBY,2014,6362000,806.22574483,71.659,Africa
Lithuania,LTU,1995,3627000,332.14874763,69.0063414634147,Europe
Lithuania,LTU,2014,2971000,1718.02329039,74.5170731707317,Europe
Macedonia,MKD,1995,1983000,418.88184307,72.08,Europe
Macedonia,MKD,2014,2078000,851.15265665,75.384,Europe
Madagascar,MDG,1995,13475000,41.55959896,54.616,Africa
Madagascar,MDG,2014,23590000,43.70476778,65.133,Africa
Malawi,MWI,1995,9844000,22.13939492,46.585,Africa
Malawi,MWI,2014,16290000,93.48208694,61.932,Africa
Malaysia,MYS,1995,20488000,303.3105786,71.813,Asia
Malaysia,MYS,2014,29867000,1040.23279265,74.976,Asia
Mali,MLI,1995,9586000,43.9324028,46.573,Africa
Mali,MLI,2014,16934000,108.09989826,57.007,Africa
Mauritania,MRT,1995,2314000,96.17765515,59.419,Africa
Mauritania,MRT,2014,3931000,148.10751933,62.907,Africa
Mauritius,MUS,1995,1129000,238.10863682,70.3258536585366,Africa
Mauritius,MUS,2014,1257000,896.1581696,74.1943902439024,Africa
Mexico,MEX,1995,91663000,377.89974021,72.796,North America
Mexico,MEX,2014,120355000,1121.9887776,76.753,North America
Moldova,MDA,1995,4341000,145.00566158,66.867,Europe
Moldova,MDA,2014,4073000,514.21019947,71.258,Europe
Mongolia,MNG,1995,2298000,97.50558722,61.211,Asia
Mongolia,MNG,2014,2940000,565.07024752,68.847,Asia
Morocco,MAR,1995,26994000,99.14630645,66.848,Africa
Morocco,MAR,2014,34192000,446.63974242,75.309,Africa
Mozambique,MOZ,1995,15483000,18.04241166,45.491,Africa
Mozambique,MOZ,2014,26286000,79.32069416,57.099,Africa
Myanmar,MMR,1995,43902000,13.18729388,60.463,Asia
Myanmar,MMR,2014,52281000,103.46613421,66.285,Asia
Namibia,NAM,1995,1628000,237.26941257,60.192,Africa
Namibia,NAM,2014,2273000,869.2953558,62.981,Africa
Nepal,NPL,1995,21576000,52.38573283,58.529,Asia
Nepal,NPL,2014,26906000,137.3973226,69.511,Asia
Netherlands,NLD,1995,15468000,1800.39418623,77.4046341463415,Europe
Netherlands,NLD,2014,16893000,5201.6963766,81.7073170731707,Europe
New Zealand,NZL,1995,3675000,1242.34356467,76.7341463414634,Oceania
New Zealand,NZL,2014,4568000,4018.30781878,81.4048780487805,Oceania
Nicaragua,NIC,1995,4652000,140.10572472,67.411,North America
Nicaragua,NIC,2014,6143000,444.6184622,74.884,North America
Niger,NER,1995,9490000,35.94455315,46.659,Africa
Niger,NER,2014,19240000,53.53040204,59.228,Africa
Nigeria,NGA,1995,107948000,88.96537265,45.852,Africa
Nigeria,NGA,2014,176404992,216.8711705,52.549,Africa
Norway,NOR,1995,4367000,1864.71981731,77.7365853658537,Europe
Norway,NOR,2014,5142000,6346.61546337,82.1,Europe
Oman,OMN,1995,2204000,1012.97557239,69.771,Asia
Oman,OMN,2014,4027000,1441.96769341,76.578,Asia
Pakistan,PAK,1995,123777000,80.46213018,61.436,Asia
Pakistan,PAK,2014,195304992,128.98872466,66.139,Asia
Panama,PAN,1995,2740000,498.49436786,74.09,North America
Panama,PAN,2014,3901000,1676.95228529,77.61,North America
Papua New Guinea,PNG,1995,5187000,45.73429267,60.418,Oceania
Papua New Guinea,PNG,2014,7947000,109.48832119,65.23,Oceania
Paraguay,PRY,1995,4777000,286.68421798,68.911,South America
Paraguay,PRY,2014,6600000,872.92836492,72.913,South America
Peru,PER,1995,24299000,200.84690071,68.026,South America
Peru,PER,2014,30090000,656.18008382,74.518,South America
Philippines,PHL,1995,69784000,99.58085928,66.265,Asia
Philippines,PHL,2014,100513000,328.87213835,68.813,Asia
Poland,POL,1995,38459000,406.86543187,71.8926829268293,Europe
Poland,POL,2014,38091000,1570.44646918,77.6024390243903,Europe
Portugal,PRT,1995,10091000,1017.32810756,75.3121951219512,Europe
Portugal,PRT,2014,10418000,2689.94233578,81.1219512195122,Europe
Romania,ROU,1995,22965000,183.47300792,69.4560975609756,Europe
Romania,ROU,2014,20036000,1079.25833188,74.9609756097561,Europe
Russia,RUS,1995,148227008,301.10656319,64.6907317073171,Europe
Russia,RUS,2014,144664992,1835.7132779,70.7436585365854,Europe
Rwanda,RWA,1995,5836000,20.72759145,31.977,Africa
Rwanda,RWA,2014,11084000,125.06543321,66.188,Africa
Saudi Arabia,SAU,1995,18639000,755.28938344,70.922,Asia
Saudi Arabia,SAU,2014,30917000,2465.97676769,74.234,Asia
Senegal,SEN,1995,8690000,50.90094584,57.405,Africa
Senegal,SEN,2014,14175000,106.93550431,66.376,Africa
Serbia,SRB,1995,9884000,246.30329734,,Europe
Serbia,SRB,2014,8898000,1312.22306804,75.3365853658537,Europe
Sierra Leone,SLE,1995,4304000,88.16260253,35.729,Africa
Sierra Leone,SLE,2014,7017000,223.74445178,50.951,Africa
Singapore,SGP,1995,3526000,972.14481843,76.2951219512195,Asia
Singapore,SGP,2014,5526000,4046.9752879,82.4951219512195,Asia
Slovakia,SVK,1995,5375000,505.17694943,72.2536585365854,Europe
Slovakia,SVK,2014,5429000,2179.05100362,76.8121951219512,Europe
Slovenia,SVN,1995,1991000,972.26574533,73.9585365853659,Europe
Slovenia,SVN,2014,2067000,2697.67107106,81.0780487804878,Europe
South Africa,ZAF,1995,41436000,554.92681328,61.226,Africa
South Africa,ZAF,2014,54544000,1148.37249844,60.993,Africa
South Korea,KOR,1995,45293000,492.98029463,73.7,Asia
South Korea,KOR,2014,50608000,2530.57164113,81.7219512195122,Asia
Spain,ESP,1995,39787000,1192.67691395,77.9807317073171,Europe
Spain,ESP,2014,46778000,2965.81832471,83.2292682926829,Europe
Sri Lanka,LKA,1995,18243000,101.58003055,69.31,Asia
Sri Lanka,LKA,2014,20789000,369.1741565,74.906,Asia
Sudan,SDN,1995,24095000,63.3532094,56.716,Africa
Sudan,SDN,2014,37978000,281.64049938,64.002,Africa
Sweden,SWE,1995,8836000,1745.09564282,78.7404878048781,Europe
Sweden,SWE,2014,9692000,5218.86073424,82.2536585365854,Europe
Switzerland,CHE,1995,6996000,2572.81641878,78.4170731707317,Europe
Switzerland,CHE,2014,8206000,6468.49557329,83.1975609756098,Europe
Syria,SYR,1995,14345000,167.90563025,,Asia
Syria,SYR,2014,18711000,375.87533693,,Asia
Tajikistan,TJK,1995,5765000,28.29212317,63.185,Asia
Tajikistan,TJK,2014,8253000,185.14753548,70.69,Asia
Tanzania,TZA,1995,29649000,37.40402808,49.46,Africa
Tanzania,TZA,2014,49961000,137.49307091,64.163,Africa
Thailand,THA,1995,59467000,236.747696293326,70.192,Asia
Thailand,THA,2014,68439000,599.843666305767,74.895,Asia
Togo,TGO,1995,4226000,38.43904212,54.756,Africa
Togo,TGO,2014,7138000,76.25300946,59.601,Africa
Trinidad and Tobago,TTO,1995,1254000,522.09786436,68.344,North America
Trinidad and Tobago,TTO,2014,1362000,1815.65490457,70.426,North America
Tunisia,TUN,1995,9125000,279.10048297,71.496,Africa
Tunisia,TUN,2014,11063000,785.31749079,75.335,Africa
Turkey,TUR,1995,58486000,180.16971719,66.963,Europe
Turkey,TUR,2014,77229000,1036.46529379,75.239,Europe
Turkmenistan,TKM,1995,4208000,103.38494824,62.85,Asia
Turkmenistan,TKM,2014,5466000,319.89865998,67.552,Asia
Uganda,UGA,1995,20413000,45.70373496,44.22,Africa
Uganda,UGA,2014,36912000,132.58798789,59.224,Africa
Ukraine,UKR,1995,50904000,262.79939969,67.1370731707317,Europe
Ukraine,UKR,2014,45112000,584.23599726,71.1865853658537,Europe
United Arab Emirates,ARE,1995,2415000,2066.4761756,72.943,Asia
United Arab Emirates,ARE,2014,9214000,2405.36771937,76.948,Asia
United Kingdom,GBR,1995,57932000,1349.74957198,76.8365853658537,Europe
United Kingdom,GBR,2014,65423000,3376.86996528,81.3048780487805,Europe
United States,USA,1995,265164000,3788.30984177,75.6219512195122,North America
United States,USA,2014,318672992,9402.53697133,78.8414634146341,North America
Uruguay,URY,1995,3224000,1060.04413154,73.613,South America
Uruguay,URY,2014,3400000,1792.18097303,77.19,South America
Uzbekistan,UZB,1995,22791000,109.3075234,66.396,Asia
Uzbekistan,UZB,2014,30426000,339.60620292,71.039,Asia
Venezuela,VEN,1995,21931000,605.99677074,70.893,South America
Venezuela,VEN,2014,30043000,922.98867425,74.196,South America
Vietnam,VNM,1995,74910000,73.93391547,71.968,Asia
Vietnam,VNM,2014,91714000,390.49743035,75.855,Asia
Yemen,YEM,1995,14913000,124.7025598,59.275,Asia
Yemen,YEM,2014,25823000,202.1649506,64.523,Asia
Zambia,ZMB,1995,9097000,73.03062,43.166,Africa
Zambia,ZMB,2014,15400000,194.68451093,60.775,Africa
